row,image1,image2,win1,win2,tie
38,297371c56beb6b4e.jpeg,8ce666859cdc4ace.jpeg,6,3,1
39,340407178b880400.jpeg,70d0e49591c5c030.jpeg,10,0,0
40,1399e8eae27b6458.jpeg,707858d474cc8ca8.jpeg,2,8,0
41,e1c4dc5868581018.jpeg,f37164a4d456dbf8.jpeg,3,4,3
42,2dad94e4c4d95548.png,4f0e708ef4e28ef0.jpeg,5,3,3
43,7a7b2e7ef08188e4.jpeg,fcf8fecefcb466b6.jpeg,10,0,0
44,94d6b64a8c940b20.jpeg,bebf3ab3f937ecfc.jpeg,10,0,0
45,8ccc56114be6f614.jpeg,a5c8ee32534c7881.jpeg,8,2,0
46,47ddbc7cda1b8549.png,e56773139b29459f.jpeg,10,0,0
47,8080bc9f97939c1c.jpeg,fef2f2e6cb99ac9b.jpeg,9,1,0
48,5816145634a0aa8b.jpeg,eb3b426464a68d9d.jpeg,1,2,7
49,09899d9a3267c823.jpeg,292199a931193945.jpeg,3,6,1
50,41e737465b73b3f3.jpeg,76ccc8c89cb6f633.jpeg,0,10,0
51,6f3d2ccdcc646a6e.jpeg,97466b696970f058.jpeg,8,2,0
52,030f0a1ae4b32363.jpeg,61c7cb43c6ac1aba.jpeg,5,0,5
53,20209294362d910c.jpeg,9d8519a3a38494c9.jpeg,10,0,0
54,4b4bf1f7cecbd647.jpeg,c480e060e2666c6c.jpeg,8,1,1
55,0204336268d89e24.jpeg,32383cbdf5065646.jpeg,1,2,7
56,1f0cb49b5f3d3f3d.png,f7f9d97c98b5d892.jpeg,10,0,0
57,747071e0f0a928e1.jpeg,e06167fc3c9cecec.jpeg,9,0,1
58,c0c1c3a7965396a6.jpeg,cdad4c5832b2126a.jpeg,6,1,3
59,b7b48dbc386300d8.jpeg,d8494832ccc4d0f8.jpeg,9,1,0
60,22089cd651c0e672.jpeg,23233383696874b1.jpeg,6,0,4
61,5a981c985958a058.jpeg,d4394985b66ba1a1.jpeg,10,0,0
62,aab2b2622692a8f0.jpeg,e02094c45cf1e1f1.jpeg,5,4,1
63,21260448c9d690c6.jpeg,ee76631898b41d49.jpeg,4,1,5
64,7a7b2e7ef08188e4.jpeg,d0e8e8f8b86a484c.jpeg,8,2,0
65,2122501130286060.jpeg,3d3cae62248c90f3.jpeg,7,0,3
66,3e3e3cfc39397915.jpeg,d5e5e67612b2fa69.jpeg,5,4,1
67,3ed2f3f3349a1616.jpeg,426e6224471d986c.jpeg,0,9,1
68,0303906686b462e6.jpeg,66244d5b54541f2a.jpeg,1,2,7
69,1b9f9fefd93e60c0.jpeg,1f9f574b6d63240d.jpeg,10,0,0
70,340407178b880400.jpeg,be3c3c3db9654547.jpeg,10,0,0
71,09e183d37b6f4d4e.jpeg,3b1949795d61753d.jpeg,7,2,1
72,6c8b2336905c4271.jpeg,9ea0818dc88838aa.jpeg,5,0,5
73,8d8d2d134cd6d1c3.jpeg,a9af0b994163179a.jpeg,4,3,3
74,c5c64cf4d25291c0.jpeg,da9890d9cda736b7.jpeg,10,0,0
75,8445b4b4ad60c080.jpeg,8c9ff9f060f0f00c.jpeg,0,10,0
76,0c0842d0c8d199b9.jpeg,d3478ebc82ce3609.jpeg,2,5,3
77,951e6e53d12643d3.png,bf65c51989c69959.jpeg,10,0,0
78,acf0a084f3c8c8c2.jpeg,d1f971ea9a7eeccc.jpeg,1,5,4
79,a6262e3ec1187232.jpeg,c7cfef9ebd7c525b.jpeg,8,1,1
80,9c969cd7b3f68d80.jpeg,b292b8e8c8e8d858.jpeg,0,10,0
81,8b886c4c32789293.jpeg,e6e6fe7c3d302020.jpeg,0,10,0
82,6656d6d6585bd7b1.jpeg,d50705645832b591.jpeg,10,0,0
83,1cdcbceee296a6b4.jpeg,955d9ecc433b9f6f.jpeg,4,5,1
84,dbb3bf1f171f0e46.jpeg,dc88c1e0c0587c70.jpeg,0,10,0
85,392d24cc4cec84a5.jpeg,5a981c985958a058.jpeg,9,1,0
86,0d2d6b6337971c2b.jpeg,62763676a5d9e4c0.jpeg,6,1,3
87,808080a03934250b.jpeg,8445b4b4ad60c080.jpeg,6,0,4
88,0048a799b1b1999d.jpeg,e8f0c20f31edbeb8.jpeg,1,9,0
89,0c009298d1d3f2da.jpeg,f1d9b5a4eb692b6b.jpeg,1,8,1
90,208080c0da406a23.jpeg,e02094c45cf1e1f1.jpeg,4,3,3
91,909a232c8d1a18e2.jpeg,e3c959b199e8627a.jpeg,5,3,2
92,34727a6c666a8dd4.jpeg,ee76631898b41d49.jpeg,10,0,0
93,052d230b03020280.jpeg,955d9ecc433b9f6f.jpeg,6,3,1
94,20209294362d910c.jpeg,9393a6c4c3d0e032.jpeg,3,3,4
95,97466b696970f058.jpeg,e2e0f67e932263cb.jpeg,9,0,1
96,313b4fe8e06b9c60.jpeg,c86263d1b0346627.jpeg,0,10,0
97,66e6e6218dc9e0b9.png,d0c2480141200804.jpeg,6,2,2
98,0719252465c9f4ee.jpeg,7da193a1390ca8d4.jpeg,0,9,1
99,120919c84e987018.jpeg,f7f9d97c98b5d892.jpeg,10,0,0
100,9f06662733333333.jpeg,cf4fecc3c2e0c040.jpeg,10,0,0
101,222566421391a1a5.jpeg,4b4bf1f7cecbd647.jpeg,0,9,1
102,1715171f3dcab42b.jpeg,a9a3a3cbddcd9d99.jpeg,8,0,2
103,82870f03b3da9b8e.jpeg,f37164a4d456dbf8.jpeg,6,2,2
104,301395c1c9cbdc56.jpeg,9f06662733333333.jpeg,0,10,0
105,030f0a1ae4b32363.jpeg,e56773139b29459f.jpeg,4,0,6
106,8b886c4c32789293.jpeg,d0c2480141200804.jpeg,5,2,3
107,b0f0b8b071f5c1f1.jpeg,cdad4c5832b2126a.jpeg,8,0,2
108,a5c8ee32534c7881.jpeg,e028385533361f66.jpeg,1,7,2
109,6c688c4d60d14b29.jpeg,dee77b95907909c0.jpeg,6,4,0
110,39b226323af3f1c0.jpeg,dad498595ab4f414.jpeg,7,2,1
111,052d230b03020280.jpeg,8484840d79696130.jpeg,0,10,0
112,05c4c4f44a4cfeb6.jpeg,70a0e4dc9d94d8d8.jpeg,1,9,0
113,8e8e96969ca4a9b9.jpeg,d5dddd5994dcd8a9.jpeg,10,0,0
114,3ff7d797073363b7.jpeg,6176f2f96138feff.jpeg,1,8,1
115,7c4507addae0d0c0.jpeg,f099d64e4bdb4b5b.jpeg,10,0,0
116,6f3d2ccdcc646a6e.jpeg,b2e6e733d8d8d8d9.jpeg,9,0,1
117,090c4c898b8f83c0.jpeg,aa2042383d078aa9.jpeg,0,10,0
118,3470c006da9cb645.jpeg,e0324a66665c2a2c.jpeg,0,6,4
119,64a327232a4bdd5e.jpeg,f099d64e4bdb4b5b.jpeg,8,1,1
120,044d59694f1a3b0a.jpeg,13a0abbb9eb9f6cc.jpeg,9,1,0
121,342015476e7f7e7f.jpeg,cf8f8fcfcfe7a76f.jpeg,0,8,2
122,959495959571d386.jpeg,e3f3f3d9e4d4ecdc.jpeg,2,6,2
123,9f9fd3e6d20f2433.jpeg,c85b92908798d0f9.jpeg,10,0,0
124,999a929230d0d0b4.jpeg,a8f2e0e078f8ce6b.jpeg,1,2,7
125,747071e0f0a928e1.jpeg,9e9e9fb2f2a72112.jpeg,0,10,0
126,8eacb434cd726264.jpeg,dedfdf3fceae6c6e.jpeg,0,10,0
127,061a512528898981.jpeg,6878d899b5a9abf9.jpeg,9,0,1
128,3f7574684cb97fd3.jpeg,ecce967b707e77ee.jpeg,4,4,2
129,a7e7e6f5c0c3d1b4.jpeg,e56773139b29459f.jpeg,10,0,0
130,f3f2d4cadbddded3.jpeg,f6cfc9394cbab2a2.jpeg,5,1,4
131,949498cc4ed098b2.png,ddd5c1d1914389bc.jpeg,4,3,3
132,2333b33970021303.jpeg,d50705645832b591.jpeg,10,0,0
133,2fb36b491b1b8b0b.jpeg,bcb0c6901a137532.jpeg,0,10,0
134,1b5cdb9c35f02019.jpeg,3b3b333b9b40c088.jpeg,1,9,0
135,656769a99cb3a5ac.jpeg,b1990f1bda0d1343.jpeg,7,2,1
136,7c5ecccce9629667.jpeg,e9e9e9e16b6bd8cd.jpeg,2,5,3
137,104e4e88c8c2eb30.jpeg,18d0c14ccdf39881.jpeg,9,0,1
138,27a7a2716be0b0b8.jpeg,66268fab7b0f971f.jpeg,9,1,0
139,b292b8e8c8e8d858.jpeg,b8ecccc8d0e79705.jpeg,10,0,0
140,08006567257211b1.jpeg,e4e1e3c2c5802121.jpeg,5,1,4
141,28130d276def6e7d.jpeg,b90fbab2224b4160.jpeg,8,1,1
142,959495959571d386.jpeg,d6a696b6f7bb73b7.jpeg,1,8,1
143,0336724f27efcec7.jpeg,d8d8f8b8405273f3.jpeg,10,0,0
144,a75558d8ac9c9c98.jpeg,eccce8b151c35134.jpeg,10,0,0
145,80fb7f4f15264784.jpeg,d95a6cbcdc387c68.jpeg,6,1,3
146,05c54565ddd4b437.jpeg,4d5513dbd343c313.jpeg,7,2,1
147,f0e8cc8cb1e9fcdb.jpeg,fa6c75ed6cd1d253.jpeg,7,1,2
148,131322a9c9e99000.jpeg,da9890d9cda736b7.jpeg,0,1,9
149,8901e3995a6c95e3.jpeg,8e0e8ededf198d09.jpeg,8,0,2
150,087666ea903d7856.jpeg,ca4c9d8d1d4c8f2d.jpeg,0,10,0
151,782c61c57072ab89.jpeg,81c43131850a6619.jpeg,0,7,3
152,636571575d155553.jpeg,f7e960e557e77f74.jpeg,5,4,1
153,504826666b64f4f1.jpeg,a9afbbb167cf45f0.jpeg,10,0,0
154,6176f2f96138feff.jpeg,65b5cb8a0a4a465a.jpeg,0,10,0
155,6dd2da4cca8f0727.jpeg,ceb7f776f6ad7444.jpeg,6,3,1
156,0c34dad8e0c43ccc.jpeg,caea2a9bca78748f.jpeg,2,8,0
157,d8ecb8d8b292c3a1.jpeg,f7e960e557e77f74.jpeg,1,8,1
158,d26e2d51681909c0.jpeg,d4394985b66ba1a1.jpeg,0,8,2
159,131322a9c9e99000.jpeg,fefefddce3933ab1.jpeg,0,5,5
160,9a4cc1f336cdc81a.jpeg,d8d8f8b8405273f3.jpeg,1,4,5
161,426e6224471d986c.jpeg,ee76631898b41d49.jpeg,8,1,1
162,313b4fe8e06b9c60.jpeg,60186868567e2c18.jpeg,1,7,2
163,091c168ecb36690c.jpeg,3470c006da9cb645.jpeg,4,0,6
164,293d0d278c56d2f0.jpeg,3e36368c91964c44.jpeg,0,10,0
165,0b2b6fbe6aac80a6.jpeg,e3e0f8d4cdce4640.jpeg,1,9,0
166,9ea0818dc88838aa.jpeg,ed76f2b186663438.jpeg,0,10,0
167,00080424a6a32322.jpeg,7969c94b656e3670.jpeg,0,10,0
168,32327350920144d4.jpeg,fc7d7f77e9d3cf6f.jpeg,10,0,0
169,032353c6e6ea6a9e.jpeg,38b8b0e0e50384e3.jpeg,4,5,1
170,00c0cb9bd3f49494.jpeg,79e5e05afb535b73.jpeg,0,10,0
171,70280b1376cf9c70.jpeg,c4c6c6d6863511a6.jpeg,10,0,0
172,ca4c9d8d1d4c8f2d.jpeg,e9e9e9e16b6bd8cd.jpeg,3,7,0
173,8445b4b4ad60c080.jpeg,beb85a4652f0747c.jpeg,2,5,3
174,1e3cd0d83a55cdb2.jpeg,484a4a4205826cd8.jpeg,4,4,2
175,a3c7776f26674fdb.jpeg,e6e8889fc36413b3.jpeg,8,2,0
176,9d8fde44c69e58f6.jpeg,c9496989990b2808.jpeg,5,5,0
177,200062781c870006.jpeg,340c0e666e7a7226.jpeg,9,1,0
178,9f9bb191d999ccdc.jpeg,e3e0f8d4cdce4640.jpeg,8,1,1
179,7777b4d670a0d21a.jpeg,f3e7e7e5e7c5e1ee.jpeg,3,1,6
180,8181693921989b9b.jpeg,d0f0c8e8f0d8d4e4.jpeg,0,10,0
181,7071616438c94f4c.jpeg,808080a03934250b.jpeg,2,7,1
182,767513bb63b546c7.jpeg,7c3ca7ad69410fff.jpeg,0,8,2
183,90186c3af0c02686.jpeg,b0f0b8b071f5c1f1.jpeg,1,7,2
184,7979797a7a5e5ed6.jpeg,da3b293036f6796c.jpeg,1,9,0
185,30b1b696e74d3206.jpeg,e8e8e6c6e4a6273e.jpeg,3,5,2
186,19970f5be715dd9d.jpeg,cf8f8fcfcfe7a76f.jpeg,4,2,4
187,80e478393c9272dc.jpeg,b2dad8f239b9abf3.jpeg,3,1,6
188,8181693921989b9b.jpeg,e3d393939b1b3989.jpeg,0,10,0
189,c85b92908798d0f9.jpeg,f67e3e9a9afefcd8.jpeg,0,10,0
190,00c0e63edacd4c51.jpeg,ecce967b707e77ee.jpeg,6,1,3
191,4c0c0b19cd1b92c6.jpeg,c684525666868a92.jpeg,0,8,2
192,394bcfcdcfc9c9cb.jpeg,df7f3f7f253b346c.jpeg,1,6,3
193,43c7933162e2ad96.jpeg,f878f87ab9e9b82e.jpeg,10,0,0
194,375f7c1e33d5cc68.jpeg,d0d4daf330d81450.jpeg,0,10,0
195,0e3c183cb3888d3e.jpeg,5816145634a0aa8b.jpeg,9,0,1
196,16022086819c8283.jpeg,e07e929848c14367.jpeg,0,9,1
197,392d24cc4cec84a5.jpeg,40c089ece0616070.jpeg,9,1,0
198,584849692b2d2d2f.jpeg,70280b1376cf9c70.jpeg,3,7,0
199,32334efef09c8a90.jpeg,e4e4e6d2f3f2d6cc.jpeg,0,10,0
200,00b0e4c0d4c8e8b4.jpeg,cb5ad4c7f3e6d658.jpeg,5,1,4
201,c4c13c06f271c990.jpeg,d89998b2d8903333.jpeg,10,0,0
202,280b9b682cddec9c.jpeg,d8fc3d9d9cb7f7f6.jpeg,0,10,0
203,3191dde5a02cc298.jpeg,60605a783c25068b.jpeg,1,9,0
204,00800884f11a1909.jpeg,3b1949795d61753d.jpeg,1,7,2
205,90d0e1f1891310f1.jpeg,b535991a9d1acf8c.jpeg,4,6,0
206,6d785ee7e2f8f8f2.jpeg,c5c64cf4d25291c0.jpeg,0,9,1
207,88dcccf9eb4ecc83.jpeg,c1c0d0c444a4b431.jpeg,10,0,0
208,64cbf336b71b3818.jpeg,84e5390919731b3c.jpeg,4,5,1
209,03879c302675f74f.jpeg,4192266554cfa5e5.jpeg,10,0,0
210,c6846171933020fc.jpeg,d0f0c8e8f0d8d4e4.jpeg,0,10,0
211,208080c0da406a23.jpeg,e0c8c94262606a76.jpeg,3,1,6
212,78e2e1f08ccbcfd7.jpeg,e0324a66665c2a2c.jpeg,5,2,3
213,233377d5c9494910.jpeg,a5c4e49c862638b9.jpeg,5,5,0
214,4bc09b1d64311107.jpeg,c20d11dad656aa33.jpeg,10,0,0
215,732d2a7bd9b8fcb5.jpeg,d9cd9c1e38302500.jpeg,6,3,1
216,3d3cae62248c90f3.jpeg,4d60525c3c3e3e66.jpeg,2,3,5
217,00cec6f3a1ebe8c6.jpeg,a3a7e26a9833d3e3.jpeg,0,8,2
218,565ee81a95b5e424.jpeg,c2f2defeba77d9d9.jpeg,9,1,0
219,c7e7e76602cbf924.jpeg,e0e86ae4b266e599.jpeg,10,0,0
220,1d3b3975672563a3.jpeg,3e3e3cfc39397915.jpeg,10,0,0
221,9a1c3c9ec4838689.jpeg,d50705645832b591.jpeg,2,0,8
222,3692ce4658399a37.jpeg,cdc92322855f7974.jpeg,0,9,1
223,0400c84ccc4c48b2.jpeg,a9617aaef886b4c1.jpeg,0,8,2
224,5816145634a0aa8b.jpeg,cdcd850903c43680.jpeg,1,9,0
225,39bd94b3b393e4e0.jpeg,726243928383b2d2.jpeg,0,10,0
226,5e7b230aca4e9fbc.jpeg,98988dff9383a30b.jpeg,10,0,0
227,13137376366e3713.jpeg,595b53dbc2e4ad67.jpeg,9,1,0
228,b036a393272f5d03.jpeg,c809098585c96dec.jpeg,3,4,3
229,b3b286c6b4b05c6d.jpeg,c20d11dad656aa33.jpeg,7,1,2
230,4d2a76444cd8d565.jpeg,8e9ccd6945492db9.png,0,10,0
231,303c071634eec6c6.jpeg,4666e2ca657674bc.jpeg,1,4,5
232,8e9ccd6945492db9.png,e4e4e6d2f3f2d6cc.jpeg,4,6,0
233,4ccce4e138cd0e0b.jpeg,6656d6d6585bd7b1.jpeg,3,7,0
234,101445020a2e6464.jpeg,c1c189a8d8d8b07a.jpeg,0,10,0
235,104e4e88c8c2eb30.jpeg,243052736078adec.jpeg,10,0,0
236,b5e7d2f5e6968d11.png,c0f4f8fc7c6dcf9a.jpeg,0,10,0
237,4146c73716b5b534.jpeg,e1e3ce44be1f9fcc.jpeg,0,10,0
238,49c0c8482d3ca6e6.jpeg,6438203030b4b070.jpeg,2,6,2
239,80c4c1c76ccc18d9.jpeg,82870f03b3da9b8e.jpeg,1,3,6
240,109890c2e83a9a89.jpeg,d6d0ec64b4a7e34b.jpeg,4,3,3
241,21260448c9d690c6.jpeg,f6f2f96c74381bb1.jpeg,2,4,4
242,5de72ba98f62f3a3.jpeg,9ec8013d4466c3c1.jpeg,3,6,1
243,9a18010a30444c35.jpeg,d6a696b6f7bb73b7.jpeg,6,4,0
244,9999d149f95b31b9.jpeg,c1c189a8d8d8b07a.jpeg,0,10,0
245,8fc200d9dd1c6c32.jpeg,e0c8c94262606a76.jpeg,10,0,0
246,0a8a946d6eee9eb4.jpeg,c1c0d0c444a4b431.jpeg,7,2,1
247,4dc919332bd1c3d8.jpeg,98988dff9383a30b.jpeg,1,7,2
248,7ce46978787b33d1.jpeg,8fcbaf8b68e58482.jpeg,0,10,0
249,9a1c3c9ec4838689.jpeg,c2f2b3e62031b5d3.jpeg,0,6,4
250,40c089ece0616070.jpeg,4666e2ca657674bc.jpeg,8,1,1
251,6270707169a13935.jpeg,f2d49475acf3c5dc.jpeg,10,0,0
252,164748c42f2b1bfc.jpeg,b535991a9d1acf8c.jpeg,0,10,0
253,03038b8bbc71c3bb.jpeg,5071e1e8822e7051.jpeg,2,2,6
254,a3c7776f26674fdb.jpeg,b29a3e36569163ca.jpeg,8,0,2
255,dbb3bf1f171f0e46.jpeg,fbfb7a7e9a5a1c21.jpeg,3,6,1
256,0c446636268dcd4f.jpeg,c3c3e7c323318020.jpeg,5,5,0
257,84e5390919731b3c.jpeg,9d9032732531e8e0.jpeg,2,7,1
258,6f3d2ccdcc646a6e.jpeg,e8f1f9d8d8f934a6.jpeg,9,0,1
259,584849692b2d2d2f.jpeg,66f4bdce49a04212.jpeg,9,0,1
260,3383a3a7c0511932.jpeg,ac8c94bcb4f0f22b.jpeg,10,0,0
261,087666ea903d7856.jpeg,f1f9bb577423306c.jpeg,0,5,5
262,4c6e662f26a627a6.jpeg,b6db972f5647060f.jpeg,0,9,1
263,03879c302675f74f.jpeg,6f3d2ccdcc646a6e.jpeg,10,0,0
264,1b9f9fefd93e60c0.jpeg,21260448c9d690c6.jpeg,10,0,0
265,04763f1793071933.jpeg,4d2a76444cd8d565.jpeg,8,1,1
266,2fb36b491b1b8b0b.jpeg,d26e2d51681909c0.jpeg,0,5,5
267,0a6d6eebe9cce2e3.jpeg,8c4fd93931381e17.jpeg,5,1,4
268,964f8f1d9d5f6fa1.jpeg,d8e070f2d2302c0c.jpeg,7,2,1
269,4cdc982a3a323919.jpeg,5071e1e8822e7051.jpeg,6,3,1
270,a79a889dcec2a62e.jpeg,cdc97979373773f3.jpeg,1,9,0
271,5833339b26761ada.jpeg,c1e351c0c242a969.jpeg,8,1,1
272,66244d5b54541f2a.jpeg,c8e092111969a9e9.jpeg,0,10,0
273,4ac6cec4c94b4bcc.jpeg,70a0e4dc9d94d8d8.jpeg,0,10,0
274,0ff217444e2c7a8a.jpeg,30f65d09b132aae3.jpeg,0,0,10
275,9a51313574c545cb.jpeg,e8f4d3b4d074103c.jpeg,10,0,0
276,8fbb696562d999b1.jpeg,a08191814df1346c.jpeg,3,1,6
277,32327350920144d4.jpeg,b2dadb133397060b.jpeg,4,6,0
278,964f8f1d9d5f6fa1.jpeg,e02094c45cf1e1f1.jpeg,9,0,1
279,1e3cd0d83a55cdb2.jpeg,c2f2b3e62031b5d3.jpeg,4,3,3
280,03879c302675f74f.jpeg,0e6361ee6b28eccc.jpeg,10,0,0
281,9968ed6c688928ca.jpeg,bff9ece6fa371f5e.jpeg,2,8,0
282,81c43131850a6619.jpeg,a686c2e0eca829c2.jpeg,0,10,0
283,1a9e98d984c46563.jpeg,fc7c68cc6d130e0c.jpeg,0,10,0
284,30b1b696e74d3206.jpeg,c3f8fbfbef977749.jpeg,0,0,10
285,c2080a4ae3221819.jpeg,cec7e44cecb574e4.jpeg,0,10,0
286,955d9ecc433b9f6f.jpeg,ceb7f776f6ad7444.jpeg,7,1,2
287,9a8cac682c78f86c.jpeg,cda7b6383831303a.jpeg,9,0,1
288,3b1949795d61753d.jpeg,d9d9f3f2ccf1909d.jpeg,0,10,0
289,666eace66e29381d.jpeg,98787cec62269686.jpeg,6,2,2
290,a3a7e26a9833d3e3.jpeg,e405c6e029b0e792.jpeg,7,0,3
291,71e15112383cae55.jpeg,9a1c3c9ec4838689.jpeg,3,1,6
292,0c446636268dcd4f.jpeg,6b791d2b6a72626a.jpeg,2,7,1
293,7736371b2d6554c3.jpeg,ed62eac58f8f3d3e.jpeg,1,9,0
294,e448dc96c8373732.jpeg,e66e3e96ab976363.jpeg,10,0,0
295,81838c0c99190ec7.jpeg,c098b1704c7db9bb.jpeg,0,10,0
296,3839b998b8b8d035.jpeg,999a929230d0d0b4.jpeg,10,0,0
297,27a7a2716be0b0b8.jpeg,fbf2b6e139c7cf3f.jpeg,9,0,1
298,0a8a946d6eee9eb4.jpeg,72322a6e25645213.jpeg,2,6,2
299,d6a696b6f7bb73b7.jpeg,efdbeb5296726243.jpeg,10,0,0
300,496160383b060a93.jpeg,c3e7677ed6b38dad.jpeg,8,1,1
301,cbe647cd4c31e284.jpeg,cce863e360d89062.jpeg,9,0,1
302,06646168d6dacc81.jpeg,0a6d6eebe9cce2e3.jpeg,2,3,5
303,7cbe8ea484c8ccc7.jpeg,f0f2e0606012f2f8.jpeg,10,0,0
304,3ff7d797073363b7.jpeg,e0e86ae4b266e599.jpeg,1,8,1
305,acf0a084f3c8c8c2.jpeg,e3e3f2b1a2e24106.jpeg,7,2,1
306,00cec6f3a1ebe8c6.jpeg,7263e72689005359.png,0,7,3
307,04c8f1704e5ad3f4.jpeg,3f838323b99f3f9c.png,0,10,0
308,5816145634a0aa8b.jpeg,d0f0c8e8f0d8d4e4.jpeg,0,10,0
309,c66c460626525327.jpeg,da97a5cd6c4cdedc.jpeg,1,2,7
310,1db5eddeb5f90b4c.jpeg,d0e0f0d2596c3797.jpeg,7,0,3
311,a0e4671e2f6e39f9.jpeg,d26e2d51681909c0.jpeg,8,0,2
312,2e1613137a6e6587.jpeg,86f6465a46f46d6d.jpeg,6,0,4
313,b2b24f7bd8ce868c.jpeg,c565636d6dad6be5.jpeg,10,0,0
314,07303c34d6d1ed55.jpeg,e2e0f67e932263cb.jpeg,9,1,0
315,20209294362d910c.jpeg,2dad94e4c4d95548.png,10,0,0
316,0d6969e6e6f1d256.jpeg,e4e4e6d2f3f2d6cc.jpeg,7,1,2
317,0c0c185441515818.jpeg,a4a4a4b232b62c10.jpeg,9,0,1
318,321b21233f9fecf9.jpeg,848a838282b28e62.jpeg,10,0,0
319,9ea0818dc88838aa.jpeg,c098b1704c7db9bb.jpeg,0,10,0
320,19970f5be715dd9d.jpeg,c20d11dad656aa33.jpeg,8,1,1
321,534b4b531313637a.jpeg,d859b6d2c149a2a9.jpeg,10,0,0
322,beaeb3998fcff1fc.jpeg,d0603b9ba4a4e7cf.jpeg,10,0,0
323,49c0c8482d3ca6e6.jpeg,4c4dc3a3ae7a72a1.jpeg,6,2,2
324,94d6b64a8c940b20.jpeg,c9ddf4c480010343.jpeg,10,0,0
325,656d0d5575f3e274.jpeg,79b1f1e3e43e6ccd.jpeg,10,0,0
326,44004d4893990091.jpeg,ff46645999c91836.jpeg,10,0,0
327,0c8a10848cdddc7c.jpeg,1792bc2726757999.png,8,1,1
328,9c38390b19070e86.jpeg,c098b1704c7db9bb.jpeg,7,1,2
329,383f6565ef66ce1a.jpeg,ed76f2b186663438.jpeg,1,9,0
330,032353c6e6ea6a9e.jpeg,a8f2e0e078f8ce6b.jpeg,10,0,0
331,c098b1704c7db9bb.jpeg,d464fcf27cee7212.jpeg,10,0,0
332,1db5eddeb5f90b4c.jpeg,90d0e1f1891310f1.jpeg,2,7,1
333,7736371b2d6554c3.jpeg,aa2042383d078aa9.jpeg,0,10,0
334,5d57170bac345ed5.jpeg,c4f0b3b83890dc3c.jpeg,3,1,6
335,118ba5717d4c0bd0.jpeg,68405eacb44272c2.jpeg,0,10,0
336,c0e0ac0e94a8b2d0.jpeg,c0e16116264d8c20.jpeg,10,0,0
